Organism Name	Organism Taxonomic ID	Assembly Accession	Assembly Name	Assembly Release Date	Assembly BioSample Accession	Assembly BioProject Accession	Assembly BioProject Lineage Parent Accessions	Source Database
Aythya fuligula	219594	GCA_009819795.1	bAytFul2.pri	2019-12-31	SAMN12621346	PRJNA561952	PRJNA562180	SOURCE_DATABASE_GENBANK
Aythya fuligula	219594	GCA_009819845.1	bAytFul2.alt	2019-12-23	SAMN12621346	PRJNA561953	PRJNA562180	SOURCE_DATABASE_GENBANK
Azolla caroliniana	39631	GCA_043228905.1	voAzoCaro1.0.p	2024-10-16	SAMN41564273	PRJNA1145002	PRJNA777144	SOURCE_DATABASE_GENBANK
Azolla caroliniana	39631	GCA_043228885.1	voAzoCaro1.0.a	2024-10-16	SAMN41564273	PRJNA1145003	PRJNA777144	SOURCE_DATABASE_GENBANK
Azorinus chamasolen	2922058	GCA_963576725.1	xbAzoCham1.1	2023-11-03	SAMEA110043170	PRJEB68125	PRJEB62728	SOURCE_DATABASE_GENBANK
Azorinus chamasolen	2922058	GCA_963576665.1	xbAzoCham1.1 alternate haplotype	2023-11-04	SAMEA110043170	PRJEB68126	PRJEB62728	SOURCE_DATABASE_GENBANK
Babyrousa celebensis	1303000	GCA_028533215.1	Babyrousa_celebensis_HiC	2023-02-09	SAMN21582226	PRJNA512907	PRJNA533106,PRJNA944680,PRJNA1075707	SOURCE_DATABASE_GENBANK
Baccha elongata	226178	GCA_951217065.2	idBacElon1.2	2025-03-24	SAMEA7520030	PRJEB61720	PRJEB58948	SOURCE_DATABASE_GENBANK
Baccha elongata	226178	GCA_951217075.2	idBacElon1.2 alternate haplotype	2025-11-19	SAMEA7520030	PRJEB61719	PRJEB58948	SOURCE_DATABASE_GENBANK
Bactrocera oleae	104688	GCA_001188975.4	MU_Boleae_v2	2019-04-30	SAMN03840585	PRJNA288990	PRJNA163993	SOURCE_DATABASE_GENBANK
Bactrocera oleae	104688	GCA_042242895.1	idBacOlea1 alternate haplotype	2024-09-25	SAMN40548649	PRJNA1089781	PRJNA1112847	SOURCE_DATABASE_GENBANK
Bactrocera oleae	104688	GCA_042242935.1	idBacOlea1	2024-09-25	SAMN40548649	PRJNA1089778	PRJNA1112847	SOURCE_DATABASE_GENBANK
Bactrocera oleae	104688	GCA_051013405.1	idBacOlea3_principal	2025-06-20	SAMN49013654	PRJNA1275571	PRJNA1276601	SOURCE_DATABASE_GENBANK
Bactrocera oleae	104688	GCA_051013435.1	idBacOlea3_alternate	2025-06-20	SAMN49013654	PRJNA1275572	PRJNA1276601	SOURCE_DATABASE_GENBANK
Baeolophus bicolor	88114	GCA_055754725.1	bBaeBic1.hap1	2026-03-09	SAMN55933867	PRJNA1427876	PRJNA1428901	SOURCE_DATABASE_GENBANK
Baeolophus bicolor	88114	GCA_055761795.1	bBaeBic1.hap2	2026-03-10	SAMN55933867	PRJNA1427877	PRJNA1428901	SOURCE_DATABASE_GENBANK
Balaeniceps rex	33584	GCA_013401315.1	ASM1340131v1	2020-07-10	SAMN12253916	PRJNA545868	PRJNA533106	SOURCE_DATABASE_GENBANK
Balaenoptera acutorostrata	9767	GCA_949987535.1	mBalAcu1.1	2023-05-01	SAMEA111380540	PRJEB61579	PRJEB60647	SOURCE_DATABASE_GENBANK
Balaenoptera acutorostrata	9767	GCA_950005055.1	mBalAcu1.1 alternate haplotype	2023-04-29	SAMEA111380540	PRJEB61580	PRJEB60647	SOURCE_DATABASE_GENBANK
Balaenoptera musculus	9771	GCA_008658375.2	mBalMus1.alt.v2	2020-09-30	SAMN12287136	PRJNA554523	PRJNA557693	SOURCE_DATABASE_GENBANK
Balaenoptera musculus	9771	GCA_009873245.3	mBalMus1.pri.v3	2020-10-02	SAMN12287136	PRJNA554522	PRJNA557693	SOURCE_DATABASE_GENBANK
Balaenoptera ricei	2746895	GCA_028017805.1	mBalRic1.hap1	2023-01-26	SAMN32629060	PRJNA921697	PRJNA927325	SOURCE_DATABASE_GENBANK
Balaenoptera ricei	2746895	GCA_028023285.1	mBalRic1.hap2	2023-01-30	SAMN32629060	PRJNA921698	PRJNA927325	SOURCE_DATABASE_GENBANK
Balanococcus diminutus	249498	GCA_959613365.1	ihBalDimi2.1	2023-07-23	SAMEA7523485	PRJEB64510	PRJEB64078	SOURCE_DATABASE_GENBANK
Balanococcus diminutus	249498	GCA_959613355.1	ihBalDimi2.1 alternate haplotype	2023-07-23	SAMEA7523485	PRJEB64511	PRJEB64078	SOURCE_DATABASE_GENBANK
Balanoglossus misakiensis	509136	GCA_040954625.2	keBalMisa1.hap1	2025-03-27	SAMN40579982	PRJNA1090636	PRJNA1236350	SOURCE_DATABASE_GENBANK
Balanoglossus misakiensis	509136	GCA_040954595.2	keBalMisa1.hap2	2025-03-27	SAMN40579982	PRJNA1090635	PRJNA1236350	SOURCE_DATABASE_GENBANK
Balanus glandula	110520	GCA_049308085.2	qhBalGlan1_p1.2	2025-08-28	SAMN44011948	PRJNA1189088	PRJNA813333,PRJNA1166239	SOURCE_DATABASE_GENBANK
Balanus glandula	110520	GCA_049308025.2	qhBalGlan1_a1.2	2025-08-28	SAMN44011948	PRJNA1189089	PRJNA813333,PRJNA1166239	SOURCE_DATABASE_GENBANK
Balearica regulorum gibbericeps	100784	GCA_011004865.1	bBalReg1.alt	2020-02-24	SAMN12615749	PRJNA561891	PRJNA562181	SOURCE_DATABASE_GENBANK
Balearica regulorum gibbericeps	100784	GCA_011004875.1	bBalReg1.pri	2020-03-05	SAMN12615749	PRJNA561890	PRJNA562181	SOURCE_DATABASE_GENBANK
Ballota nigra	194200	GCA_947034835.1	daBalNigr1.1	2022-10-07	SAMEA7522397	PRJEB56455	PRJEB47666	SOURCE_DATABASE_GENBANK
Ballota nigra	194200	GCA_947034845.1	daBalNigr1.1 alternate haplotype	2022-10-08	SAMEA7522397	PRJEB56456	PRJEB47666	SOURCE_DATABASE_GENBANK
Barbatula barbatula	135647	GCA_947034865.1	fBarBar1.1	2022-10-07	SAMEA11296540	PRJEB56420	PRJEB55341	SOURCE_DATABASE_GENBANK
Barbatula barbatula	135647	GCA_947034905.1	fBarBar1.1 alternate haplotype	2022-10-08	SAMEA11296540	PRJEB56421	PRJEB55341	SOURCE_DATABASE_GENBANK
Barbus barbus	40830	GCA_936440315.1	fBarBab1.1	2022-05-03	SAMEA13335783	PRJEB52077	PRJEB51453	SOURCE_DATABASE_GENBANK
Barbus barbus	40830	GCA_936446605.1	fBarBab1.1 alternate haplotype	2022-04-16	SAMEA13335783	PRJEB52076	PRJEB51453	SOURCE_DATABASE_GENBANK
Bartramia longicauda	279933	GCA_045784545.1	ASM4578454v1	2024-12-06	SAMN44603964	PRJNA1153307	PRJNA489244	SOURCE_DATABASE_GENBANK
Baryphthengus martii	176943	GCA_013396935.1	ASM1339693v1	2020-07-10	SAMN12253779	PRJNA545868	PRJNA533106	SOURCE_DATABASE_GENBANK
Basileuterus melanogenys	873195	GCA_055770315.1	ASM5577031v1	2026-03-10	SAMN52663873	PRJNA1307197	PRJNA489244	SOURCE_DATABASE_GENBANK
Bathymodiolus septemdierum	220392	GCA_963383655.1	xbBatSept2.1	2023-08-26	SAMEA111532940	PRJEB65342	PRJEB64722	SOURCE_DATABASE_GENBANK
Bathymodiolus septemdierum	220392	GCA_963383625.1	xbBatSept2.1 alternate haplotype	2023-08-26	SAMEA111532940	PRJEB65343	PRJEB64722	SOURCE_DATABASE_GENBANK
Bathypolypus bairdii	638792	GCA_051200645.2	xcBatBair1_p1.2	2026-01-27	SAMN41679876	PRJNA1153344	PRJNA813333,PRJNA1105580	SOURCE_DATABASE_GENBANK
Bathypolypus bairdii	638792	GCA_051200675.2	xcBatBair1_a1.2	2026-01-27	SAMN41679876	PRJNA1153343	PRJNA813333,PRJNA1105580	SOURCE_DATABASE_GENBANK
Beatragus hunteri	59527	GCA_004027495.1	BeaHun_v1_BIUU	2019-01-16	SAMN07678065	PRJNA399375	PRJNA312960	SOURCE_DATABASE_GENBANK
Bedellia somnulentella	753282	GCA_963576695.1	ilBedSomn2.1 alternate haplotype	2023-11-03	SAMEA110451506	PRJEB68128	PRJEB65382	SOURCE_DATABASE_GENBANK
Belba bartosi	2905843	GCA_034693685.1	ASM3469368v1	2023-12-27	SAMN24116352	PRJNA758215	PRJNA706923	SOURCE_DATABASE_GENBANK
Bellardia bayeri	2881606	GCA_950370525.1	idBelBaye1.1	2023-05-02	SAMEA110451627	PRJEB61765	PRJEB57428	SOURCE_DATABASE_GENBANK
Bellardia bayeri	2881606	GCA_950381525.1	idBelBaye1.1 alternate haplotype	2023-05-02	SAMEA110451627	PRJEB61764	PRJEB57428	SOURCE_DATABASE_GENBANK
Bellardia pandia	2795671	GCA_916048285.2	idBelPand1.2	2022-02-09	SAMEA7746779	PRJEB47511	PRJEB45671	SOURCE_DATABASE_GENBANK
Bellardia pandia	2795671	GCA_916050155.1	idBelPand1.1 alternate haplotype	2021-09-22	SAMEA7746779	PRJEB47512	PRJEB45671	SOURCE_DATABASE_GENBANK
Bembecia ichneumoniformis	301037	GCA_910589475.2	ilBemIchn1.2	2022-10-14	SAMEA7701282	PRJEB45319	PRJEB45128	SOURCE_DATABASE_GENBANK
Bembecia ichneumoniformis	301037	GCA_910589565.1	ilBemIchn1.1 alternate haplotype	2021-07-07	SAMEA7701282	PRJEB45318	PRJEB45128	SOURCE_DATABASE_GENBANK
Bemisia tabaci	7038	GCA_001854935.1	ASM185493v1	2016-10-26	SAMN04500967	PRJNA312470	PRJNA163993	SOURCE_DATABASE_GENBANK
Berberis vulgaris	258209	GCA_963556465.1	dmBerVulg1.1	2023-10-17	SAMEA10241407	PRJEB67386	PRJEB60726	SOURCE_DATABASE_GENBANK
Berberis vulgaris	258209	GCA_963556485.1	dmBerVulg1.1 alternate haplotype	2023-10-17	SAMEA10241407	PRJEB67385	PRJEB60726	SOURCE_DATABASE_GENBANK
Berghia stephanieae	1287507	GCA_034508935.4	UCSD_Bste_1.3	2025-12-23	SAMN36934970	PRJNA1004233	PRJNA649812	SOURCE_DATABASE_GENBANK
Beris chalybata	2719050	GCA_949128065.1	idBerChal2.1	2023-03-11	SAMEA110451581	PRJEB59506	PRJEB58420	SOURCE_DATABASE_GENBANK
Beris chalybata	2719050	GCA_949128145.1	idBerChal2.1 alternate haplotype	2023-04-08	SAMEA110451581	PRJEB59505	PRJEB58420	SOURCE_DATABASE_GENBANK
Beris morrisii	931494	GCA_951812415.1	idBerMorr1.1	2023-07-14	SAMEA112232746	PRJEB62895	PRJEB62159	SOURCE_DATABASE_GENBANK
Beris morrisii	931494	GCA_951812405.1	idBerMorr1.1 alternate haplotype	2023-07-15	SAMEA112232746	PRJEB62894	PRJEB62159	SOURCE_DATABASE_GENBANK
Betta splendens	158456	GCA_013403625.1	Bspl.v1.2018	2020-07-13	SAMN13419572	PRJNA592275	PRJNA706923	SOURCE_DATABASE_GENBANK
Betta splendens	158456	GCA_900634795.4	fBetSpl5.4	2023-03-10	SAMEA104381735	PRJEB30365	PRJEB30367	SOURCE_DATABASE_GENBANK
Betta splendens	158456	GCA_900651605.2	fBetSpl5.4 alternate haplotype	2023-04-08	SAMEA104381735	PRJEB30366	PRJEB30367	SOURCE_DATABASE_GENBANK
Bibio marci	189979	GCA_910594885.2	idBibMarc1.2	2022-10-14	SAMEA7524263	PRJEB45913	PRJEB45122	SOURCE_DATABASE_GENBANK
Bibio marci	189979	GCA_910594895.1	idBibMarc1.1 alternate haplotype	2021-07-07	SAMEA7524263	PRJEB45914	PRJEB45122	SOURCE_DATABASE_GENBANK
Bicyclus anynana	110368	GCA_947172395.1	ilBicAnyn1.1	2022-10-28	SAMEA9252597	PRJEB56893	PRJEB54938	SOURCE_DATABASE_GENBANK
Bicyclus anynana	110368	GCA_947172465.1	ilBicAnyn1.1 alternate haplotype	2022-10-28	SAMEA9252597	PRJEB56894	PRJEB54938	SOURCE_DATABASE_GENBANK
Bidens amplissima	51261	GCA_050231295.1	daBidAmpi1_p1.1	2025-05-07	SAMN42469373	PRJNA1155823	PRJNA813333,PRJNA1116758	SOURCE_DATABASE_GENBANK
Bidens amplissima	51261	GCA_050231205.1	daBidAmpi1_a1.1	2025-05-07	SAMN42469373	PRJNA1155824	PRJNA813333,PRJNA1116758	SOURCE_DATABASE_GENBANK
Bilobella braunerae	106916	GCA_034694865.1	ASM3469486v1	2023-12-27	SAMN25040752	PRJNA758215	PRJNA706923	SOURCE_DATABASE_GENBANK
Bimastos eiseni	320977	GCA_959347315.1	whEisEise2.1	2023-07-20	SAMEA10166839	PRJEB64443	PRJEB63410	SOURCE_DATABASE_GENBANK
Bimastos eiseni	320977	GCA_959347335.1	whEisEise2.1 alternate haplotype	2023-07-20	SAMEA10166839	PRJEB64442	PRJEB63410	SOURCE_DATABASE_GENBANK
Biomphalaria glabrata	6526	GCA_947242115.1	xgBioGlab47.1	2022-10-29	SAMEA10417684	PRJEB57161	PRJEB52579	SOURCE_DATABASE_GENBANK
Biomphalaria glabrata	6526	GCA_947242385.1	xgBioGlab47.1 alternate haplotype	2022-10-28	SAMEA10417684	PRJEB57160	PRJEB52579	SOURCE_DATABASE_GENBANK
Biston betularia	82595	GCA_905404145.2	ilBisBetu1.2	2022-02-02	SAMEA7520512	PRJEB43984	PRJEB43794	SOURCE_DATABASE_GENBANK
Biston betularia	82595	GCA_905404215.1	ilBisBetu1.1 alternate haplotype	2021-04-15	SAMEA7520512	PRJEB43985	PRJEB43794	SOURCE_DATABASE_GENBANK
Biston stratarius	722658	GCA_950106695.1	ilBisStrt2.1	2023-05-01	SAMEA10107025	PRJEB61677	PRJEB61133	SOURCE_DATABASE_GENBANK
Biston stratarius	722658	GCA_950106675.1	ilBisStrt2.1 alternate haplotype	2023-05-01	SAMEA10107025	PRJEB61678	PRJEB61133	SOURCE_DATABASE_GENBANK
Blarina brevicauda	9387	GCA_051295465.2	mBlaBre1_p1.2	2026-01-27	SAMN45019444	PRJNA1199524	PRJNA813333,PRJNA1187646	SOURCE_DATABASE_GENBANK
Blarina brevicauda	9387	GCA_051295425.2	mBlaBre1_a1.2	2026-01-27	SAMN45019444	PRJNA1199525	PRJNA813333,PRJNA1187646	SOURCE_DATABASE_GENBANK
Blastobasis adustella	1869501	GCA_907269095.1	ilBlaAdus2.1	2021-05-19	SAMEA7520179	PRJEB44953	PRJEB44983	SOURCE_DATABASE_GENBANK
Blastobasis adustella	1869501	GCA_907269055.1	ilBlaAdus2.1 alternate haplotype	2021-05-19	SAMEA7520179	PRJEB44952	PRJEB44983	SOURCE_DATABASE_GENBANK
Blastobasis lacticolella	2561016	GCA_905147135.1	ilBlaLact1.1	2021-01-28	SAMEA7519826	PRJEB41904	PRJEB42117	SOURCE_DATABASE_GENBANK
Blastobasis lacticolella	2561016	GCA_905147205.1	ilBlaLact1.1 alternate haplotype	2021-01-28	SAMEA7519826	PRJEB41905	PRJEB42117	SOURCE_DATABASE_GENBANK
Blastomussa wellsi	419443	GCA_947652115.1	jaBlaWell11.1	2022-12-21	SAMEA8576599	PRJEB58379	PRJEB53733	SOURCE_DATABASE_GENBANK
Blastomussa wellsi	419443	GCA_947652475.1	jaBlaWell11.1 alternate haplotype	2022-12-21	SAMEA8576599	PRJEB58380	PRJEB53733	SOURCE_DATABASE_GENBANK
Blattella germanica	6973	GCA_000762945.2	Bger_2.0	2018-01-19	SAMN02644979	PRJNA203136	PRJNA163973	SOURCE_DATABASE_GENBANK
Blattella germanica	6973	GCA_003018175.1	Bger_1.1	2018-03-26	SAMN08772480	PRJNA427252	PRJNA163973	SOURCE_DATABASE_GENBANK
Blennius ocellaris	195075	GCA_963422475.1	fBleOce1.1 alternate haplotype	2023-09-13	SAMEA112788961	PRJEB65836	PRJEB65187	SOURCE_DATABASE_GENBANK
Blennius ocellaris	195075	GCA_963422515.1	fBleOce1.1	2023-09-13	SAMEA112788961	PRJEB65837	PRJEB65187	SOURCE_DATABASE_GENBANK
Blera fallax	226147	GCA_946965025.1	idBleFall4.1	2022-09-24	SAMEA9654431	PRJEB56200	PRJEB55743	SOURCE_DATABASE_GENBANK
Blera fallax	226147	GCA_946965035.1	idBleFall4.1 alternate haplotype	2022-09-24	SAMEA9654431	PRJEB56199	PRJEB55743	SOURCE_DATABASE_GENBANK
Boloria euphrosyne	405023	GCA_951802675.2	ilBolEuph2.2	2023-07-14	SAMEA9700870	PRJEB62666	PRJEB61911	SOURCE_DATABASE_GENBANK
Boloria euphrosyne	405023	GCA_951802665.2	ilBolEuph2.2 alternate haplotype	2023-07-15	SAMEA9700870	PRJEB62667	PRJEB61911	SOURCE_DATABASE_GENBANK
Boloria selene	191398	GCA_905231865.2	ilBolSele5.2	2021-03-24	SAMEA7523131	PRJEB43009	PRJEB43033	SOURCE_DATABASE_GENBANK
Boloria selene	191398	GCA_905231875.1	ilBolSele5.1 alternate haplotype	2021-02-20	SAMEA7523131	PRJEB43010	PRJEB43033	SOURCE_DATABASE_GENBANK
Bombina bombina	8345	GCA_027579415.1	aBomBom1.alt	2023-01-06	SAMN32378350	PRJNA915413	PRJNA922148	SOURCE_DATABASE_GENBANK
Bombina bombina	8345	GCA_027579735.1	aBomBom1.pri	2023-01-09	SAMN32378350	PRJNA915412	PRJNA922148	SOURCE_DATABASE_GENBANK
Bombus campestris	207624	GCA_905333015.3	iyBomCamp1.3	2022-10-16	SAMEA7520482	PRJEB43478	PRJEB43538	SOURCE_DATABASE_GENBANK
Bombus hortorum	85660	GCA_905332935.1	iyBomHort1.1	2021-03-19	SAMEA7520483	PRJEB43479	PRJEB43539	SOURCE_DATABASE_GENBANK
Bombus hortorum	85660	GCA_905333095.1	iyBomHort1.1 alternate haplotype	2021-03-19	SAMEA7520483	PRJEB43480	PRJEB43539	SOURCE_DATABASE_GENBANK
Bombus huntii	85661	GCA_024542735.1	iyBomHunt1.1	2022-08-09	SAMN29759067	PRJNA858880	PRJNA555319,PRJNA923301	SOURCE_DATABASE_GENBANK
Bombus hypnorum	30191	GCA_911387925.2	iyBomHypn1.2	2022-10-14	SAMEA7520655	PRJEB46442	PRJEB45123	SOURCE_DATABASE_GENBANK
Bombus impatiens	132113	GCA_000188095.4	BIMP_2.2	2011-09-22	SAMN02953787	PRJNA61101	PRJNA163993	SOURCE_DATABASE_GENBANK
Bombus pascuorum	65598	GCA_905332965.1	iyBomPasc1.1	2021-03-19	SAMEA7520484	PRJEB43481	PRJEB43540	SOURCE_DATABASE_GENBANK
Bombus pascuorum	65598	GCA_905332995.1	iyBomPasc1.1 alternate haplotype	2021-03-20	SAMEA7520484	PRJEB43482	PRJEB43540	SOURCE_DATABASE_GENBANK
Bombus pratorum	30194	GCA_930367275.1	iyBomPrat1.1	2022-02-13	SAMEA7520485	PRJEB50848	PRJEB48116	SOURCE_DATABASE_GENBANK
Bombus pratorum	30194	GCA_930367225.1	iyBomPrat1.1 alternate haplotype	2022-02-13	SAMEA7520485	PRJEB50847	PRJEB48116	SOURCE_DATABASE_GENBANK
Bombus sonorus	203818	GCA_029958995.1	iyBomSono1.0.hap1	2023-05-09	SAMN33567129	PRJNA948471	PRJNA851470	SOURCE_DATABASE_GENBANK
Bombus sonorus	203818	GCA_029959005.1	iyBomSono1.0.hap2	2023-05-09	SAMN33567129	PRJNA948470	PRJNA851470	SOURCE_DATABASE_GENBANK
Bombus sylvestris	30201	GCA_911622165.2	iyBomSyle1.2	2022-10-15	SAMEA7520657	PRJEB46443	PRJEB45124	SOURCE_DATABASE_GENBANK
Bombus terrestris	30195	GCA_000214255.1	Bter_1.0	2011-06-03	SAMN00009041	PRJNA45869	PRJNA163991	SOURCE_DATABASE_GENBANK
Bombus terrestris	30195	GCA_910591885.2	iyBomTerr1.2	2022-02-09	SAMEA7520487	PRJEB45694	PRJEB45205	SOURCE_DATABASE_GENBANK
Bombus terrestris	30195	GCA_910592195.2	iyBomTerr1.2 alternate haplotype	2022-02-09	SAMEA7520487	PRJEB45695	PRJEB45205	SOURCE_DATABASE_GENBANK
Bombus vestalis	30202	GCA_963556215.1	iyBomVest1.1	2023-10-10	SAMEA7520656	PRJEB67288	PRJEB61036	SOURCE_DATABASE_GENBANK
Bombycilla garrulus	125297	GCA_013400315.1	ASM1340031v1	2020-07-10	SAMN12253844	PRJNA545868	PRJNA533106	SOURCE_DATABASE_GENBANK
Bombycilla japonica	127872	GCA_055770755.1	ASM5577075v1	2026-03-10	SAMN52663851	PRJNA1307197	PRJNA489244	SOURCE_DATABASE_GENBANK
Bombylius discolor	2741128	GCA_939192795.1	idBomDisc1.1	2022-05-03	SAMEA7524252	PRJEB52241	PRJEB50790	SOURCE_DATABASE_GENBANK
Bombylius discolor	2741128	GCA_939192785.1	idBomDisc1.1 alternate haplotype	2022-05-02	SAMEA7524252	PRJEB52242	PRJEB50790	SOURCE_DATABASE_GENBANK
Bombylius major	240869	GCA_932526495.1	idBomMajo1.1	2022-03-23	SAMEA7524251	PRJEB51377	PRJEB50855	SOURCE_DATABASE_GENBANK
Bombylius major	240869	GCA_932526615.1	idBomMajo1.1 alternate haplotype	2022-03-23	SAMEA7524251	PRJEB51378	PRJEB50855	SOURCE_DATABASE_GENBANK
Borostomias antarcticus	473354	GCA_949987555.1	fBorAnt1.1	2023-05-03	SAMEA8748812	PRJEB61589	PRJEB60198	SOURCE_DATABASE_GENBANK
Borostomias antarcticus	473354	GCA_949987545.1	fBorAnt1.1 alternate haplotype	2023-04-29	SAMEA8748812	PRJEB61590	PRJEB60198	SOURCE_DATABASE_GENBANK
Bos indicus x Bos taurus	30522	GCA_003369685.2	UOA_Angus_1	2018-11-30	SAMN08473802	PRJNA432857	PRJNA603765	SOURCE_DATABASE_GENBANK
Bos indicus x Bos taurus	30522	GCA_003369695.2	UOA_Brahman_1	2018-11-30	SAMN08473802	PRJNA432857	PRJNA603765	SOURCE_DATABASE_GENBANK
Botaurus lentiginosus	110661	GCA_045838445.1	ASM4583844v1	2024-12-09	SAMN44603763	PRJNA1153307	PRJNA489244	SOURCE_DATABASE_GENBANK
Botaurus stellaris	188376	GCA_045838505.1	ASM4583850v1	2024-12-09	SAMN44603759	PRJNA1153307	PRJNA489244	SOURCE_DATABASE_GENBANK
Botrylloides violaceus	581057	GCA_047301215.1	kaBotViol2_p1.1	2025-01-29	SAMN44011953	PRJNA1188283	PRJNA813333,PRJNA1131406	SOURCE_DATABASE_GENBANK
Botrylloides violaceus	581057	GCA_047301245.1	kaBotViol2_a1.1	2025-01-29	SAMN44011953	PRJNA1188284	PRJNA813333,PRJNA1131406	SOURCE_DATABASE_GENBANK
Bourletiella hortensis	574228	GCA_034694225.1	ASM3469422v1	2023-12-27	SAMN24116333	PRJNA758215	PRJNA706923	SOURCE_DATABASE_GENBANK
Brachycybe producta	1176344	GCA_036925085.1	qdBraProd1.0.pri	2024-03-01	SAMN36343784	PRJNA998023	PRJNA777148	SOURCE_DATABASE_GENBANK
Brachycybe producta	1176344	GCA_036925075.1	qdBraProd1.0.alt	2024-02-29	SAMN36343784	PRJNA998022	PRJNA777148	SOURCE_DATABASE_GENBANK
Brachylomia viminalis	988081	GCA_937001585.2	ilBraVimi1.2	2022-09-22	SAMEA7701291	PRJEB52133	PRJEB51268	SOURCE_DATABASE_GENBANK
Brachylomia viminalis	988081	GCA_937001565.2	ilBraVimi1.2 alternate haplotype	2022-09-22	SAMEA7701291	PRJEB52134	PRJEB51268	SOURCE_DATABASE_GENBANK
Brachynemurus nebulosus	2028601	GCA_035578155.1	UIUC_Brane_1.0	2024-01-11	SAMN29417778	PRJNA849191	PRJNA844590	SOURCE_DATABASE_GENBANK
Brachyopa scutellaris	2849643	GCA_949775065.1	idBraScut1.1	2023-04-07	SAMEA9359407	PRJEB60997	PRJEB59376	SOURCE_DATABASE_GENBANK
Brachyopa scutellaris	2849643	GCA_949775055.1	idBraScut1.1 alternate haplotype	2023-04-08	SAMEA9359407	PRJEB60998	PRJEB59376	SOURCE_DATABASE_GENBANK
Brachypalpus laphriformis	2234001	GCA_945910035.1	idBraLaph1.1	2022-09-10	SAMEA10166985	PRJEB54950	PRJEB53858	SOURCE_DATABASE_GENBANK
Brachypalpus laphriformis	2234001	GCA_945910015.1	idBraLaph1.1 alternate haplotype	2022-09-10	SAMEA10166985	PRJEB54951	PRJEB53858	SOURCE_DATABASE_GENBANK
Brachypodius melanocephalos	3235156	GCA_013398615.1	ASM1339861v1	2020-07-10	SAMN12253996	PRJNA545868	PRJNA533106	SOURCE_DATABASE_GENBANK
Brachyptera putata	2065413	GCA_907164805.1	iBraPut3m.1	2021-05-17	SAMEA5248727	PRJEB44421	PRJEB44423	SOURCE_DATABASE_GENBANK
Brachyptera putata	2065413	GCA_907164815.1	iBraPut3m.1 alternate haplotype	2021-05-15	SAMEA5248727	PRJEB44420	PRJEB44423	SOURCE_DATABASE_GENBANK
Brachypteracias leptosomus	135165	GCA_013401335.1	ASM1340133v1	2020-07-10	SAMN12253914	PRJNA545868	PRJNA533106	SOURCE_DATABASE_GENBANK
Brachypterus glaber	442081	GCA_958510825.1	icBraGlab1.1	2023-07-18	SAMEA14448403	PRJEB64398	PRJEB62056	SOURCE_DATABASE_GENBANK
Brachypterus glaber	442081	GCA_958510775.1	icBraGlab1.1 alternate haplotype	2023-07-18	SAMEA14448403	PRJEB64399	PRJEB62056	SOURCE_DATABASE_GENBANK
Bradypodion pumilum	179887	GCA_035047305.1	BraPum1.0	2024-01-03	SAMN35825189	PRJNA986319	PRJNA1217012	SOURCE_DATABASE_GENBANK
Bradypodion pumilum	179887	GCA_047715955.2	rBraPum1.hap2	2025-12-17	SAMN35825189	PRJNA1172113	PRJNA1217012	SOURCE_DATABASE_GENBANK
Bradypodion pumilum	179887	GCA_047715975.2	rBraPum1.hap1	2025-12-17	SAMN35825189	PRJNA1172112	PRJNA1217012	SOURCE_DATABASE_GENBANK
Bradypodion ventrale	179890	GCA_035047345.1	BraVen1.1	2024-01-03	SAMN35825190	PRJNA986319	PRJNA1217012	SOURCE_DATABASE_GENBANK
Bradypus variegatus	9355	GCA_004027775.1	BraVar_v1_BIUU	2019-01-16	SAMN07678054	PRJNA399370	PRJNA312960	SOURCE_DATABASE_GENBANK
Bradysia coprophila	38358	GCA_014529535.3	BU_Bcop_v2.1	2023-01-04	SAMN12533751	PRJNA291918	PRJNA163993	SOURCE_DATABASE_GENBANK
Branchellion lobata	375517	GCA_947562095.1	wcBraLoba9.1	2022-12-13	SAMEA11604894	PRJEB58164	PRJEB57262	SOURCE_DATABASE_GENBANK
Branchellion lobata	375517	GCA_947563305.1	wcBraLoba9.1 alternate haplotype	2022-12-11	SAMEA11604894	PRJEB58165	PRJEB57262	SOURCE_DATABASE_GENBANK
Branchinecta lindahli	91573	GCA_023053555.1	BRLI_1.1	2022-04-19	SAMN26264342	PRJNA811226	PRJNA808330	SOURCE_DATABASE_GENBANK
Branchinecta lynchi	577405	GCA_023053575.1	BRLY_1.1	2022-04-19	SAMN26264359	PRJNA811230	PRJNA808332	SOURCE_DATABASE_GENBANK
Branchinecta sandiegonensis	577406	GCA_030848855.1	qbBraSand1.0.hap1	2023-08-22	SAMN36697782	PRJNA998085	PRJNA851472	SOURCE_DATABASE_GENBANK
Branchinecta sandiegonensis	577406	GCA_030848785.1	qbBraSand1.0.hap2	2023-08-22	SAMN36697782	PRJNA998084	PRJNA851472	SOURCE_DATABASE_GENBANK
Branchiostoma floridae x Branchiostoma belcheri	2700040	GCA_019207075.1	Bb-hap	2021-07-13	SAMN13907882	PRJNA706157	PRJNA489243	SOURCE_DATABASE_GENBANK
Branchiostoma floridae x Branchiostoma japonicum	2700039	GCA_015852565.1	bf_hap-2	2020-12-09	SAMN13896449	PRJNA647830	PRJNA489243	SOURCE_DATABASE_GENBANK
