Organism Name	Organism Taxonomic ID	Assembly Accession	Assembly Name	Assembly Release Date	Assembly BioSample Accession	Assembly BioProject Accession	Assembly BioProject Lineage Parent Accessions	Source Database
Alaudala cheleensis	670337	GCA_013398995.1	ASM1339899v1	2020-07-10	SAMN12253773	PRJNA545868	PRJNA533106	SOURCE_DATABASE_GENBANK
Alca torda	28689	GCA_008658365.1	bAlcTor1 primary	2019-10-10	SAMN12292087	PRJNA554520	PRJNA566188	SOURCE_DATABASE_GENBANK
Alca torda	28689	GCA_008658355.1	bAlcTor1 alternate	2019-09-23	SAMN12292087	PRJNA554521	PRJNA566188	SOURCE_DATABASE_GENBANK
Alca torda	28689	GCA_013398245.1	ASM1339824v1	2020-07-10	SAMN12253979	PRJNA545868	PRJNA533106	SOURCE_DATABASE_GENBANK
Alcedo atthis	36245	GCA_045785045.1	ASM4578504v1	2024-12-06	SAMN44603876	PRJNA1153307	PRJNA489244	SOURCE_DATABASE_GENBANK
Alces alces	9852	GCA_007570765.1	GSC_moose_1.0	2019-07-12	SAMN11091360	PRJNA526240	PRJNA706690	SOURCE_DATABASE_GENBANK
Alcippe morrisonia	204791	GCA_055770655.1	ASM5577065v1	2026-03-10	SAMN52663854	PRJNA1307197	PRJNA489244	SOURCE_DATABASE_GENBANK
Alcis repandata	174269	GCA_949125135.1	ilAlcRepa2.1	2023-03-10	SAMEA7701558	PRJEB59429	PRJEB58930	SOURCE_DATABASE_GENBANK
Alcis repandata	174269	GCA_949125585.1	ilAlcRepa2.1 alternate haplotype	2023-04-08	SAMEA7701558	PRJEB59430	PRJEB58930	SOURCE_DATABASE_GENBANK
Aleadryas rufinucha	461220	GCA_013397815.1	ASM1339781v1	2020-07-10	SAMN12253938	PRJNA545868	PRJNA533106	SOURCE_DATABASE_GENBANK
Alectroenas pulcherrimus	2953364	GCA_055773455.1	ASM5577345v1	2026-03-10	SAMN52663716	PRJNA1307197	PRJNA489244	SOURCE_DATABASE_GENBANK
Alectura lathami	81907	GCA_013399715.1	ASM1339971v1	2020-07-10	SAMN12253796	PRJNA545868	PRJNA533106	SOURCE_DATABASE_GENBANK
Aleiodes testaceus	422171	GCA_963565655.1	iyAleTest2.1	2023-10-24	SAMEA111458708	PRJEB67674	PRJEB61692	SOURCE_DATABASE_GENBANK
Aleiodes testaceus	422171	GCA_963564045.1	iyAleTest2.1 alternate haplotype	2023-10-24	SAMEA111458708	PRJEB67675	PRJEB61692	SOURCE_DATABASE_GENBANK
Alentia gelatinosa	271774	GCA_950022655.1	wpAleGela1.1	2023-06-27	SAMEA9925843	PRJEB61555	PRJEB60315	SOURCE_DATABASE_GENBANK
Alentia gelatinosa	271774	GCA_950023025.1	wpAleGela1.1 alternate haplotype	2023-04-29	SAMEA9925843	PRJEB61556	PRJEB60315	SOURCE_DATABASE_GENBANK
Alitta virens	880429	GCA_932294295.1	wpAliVire1.1	2022-03-11	SAMEA8534434	PRJEB51272	PRJEB50793	SOURCE_DATABASE_GENBANK
Alitta virens	880429	GCA_932294305.1	wpAliVire1.1 alternate haplotype	2022-03-11	SAMEA8534434	PRJEB51273	PRJEB50793	SOURCE_DATABASE_GENBANK
Allacma fusca	39272	GCA_947179485.1	qeAllFusc8.1	2022-10-28	SAMEA110744450	PRJEB57014	PRJEB53479	SOURCE_DATABASE_GENBANK
Allacma fusca	39272	GCA_034694765.1	ASM3469476v1	2023-12-27	SAMN25040745	PRJNA758215	PRJNA706923	SOURCE_DATABASE_GENBANK
Allacma fusca	39272	GCA_947179445.1	qeAllFusc8.1 alternate haplotype	2022-10-28	SAMEA110744450	PRJEB57015	PRJEB53479	SOURCE_DATABASE_GENBANK
Alle alle	28691	GCA_045787845.1	ASM4578784v1	2024-12-06	SAMN44603815	PRJNA1153307	PRJNA489244	SOURCE_DATABASE_GENBANK
Alliaria petiolata	126270	GCA_049307985.2	ddAllPeti2_p1.2	2026-01-27	SAMN44012007	PRJNA1188299	PRJNA813333,PRJNA1166231	SOURCE_DATABASE_GENBANK
Alliaria petiolata	126270	GCA_049307965.2	ddAllPeti2_a1.2	2026-01-27	SAMN44012007	PRJNA1188300	PRJNA813333,PRJNA1166231	SOURCE_DATABASE_GENBANK
Alligator mississippiensis	8496	GCA_030867065.1	rAllMis1	2023-08-22	SAMN37045233	PRJNA1006700	PRJNA1008637	SOURCE_DATABASE_GENBANK
Alligator mississippiensis	8496	GCA_030867095.1	rAllMis1	2023-08-24	SAMN37045233	PRJNA1006701	PRJNA1008637	SOURCE_DATABASE_GENBANK
Allolobophora icterica	332519	GCA_963556255.1	wcApoIcte1.1	2023-10-10	SAMEA14448371	PRJEB67286	PRJEB64072	SOURCE_DATABASE_GENBANK
Allolobophora icterica	332519	GCA_963556245.1	wcApoIcte1.1 alternate haplotype	2023-10-10	SAMEA14448371	PRJEB67287	PRJEB64072	SOURCE_DATABASE_GENBANK
Allopauropus danicus	2905841	GCA_034694345.1	ASM3469434v1	2023-12-27	SAMN24116375	PRJNA758215	PRJNA706923	SOURCE_DATABASE_GENBANK
Allophyes oxyacanthae	988056	GCA_932294325.1	ilAllOxya1.1	2022-03-10	SAMEA8603204	PRJEB51276	PRJEB50741	SOURCE_DATABASE_GENBANK
Allophyes oxyacanthae	988056	GCA_932294395.1	ilAllOxya1.1 alternate haplotype	2022-03-11	SAMEA8603204	PRJEB51277	PRJEB50741	SOURCE_DATABASE_GENBANK
Alloplasta piceator	2870495	GCA_946863875.1	iyAllPice1.1	2022-09-15	SAMEA10166792	PRJEB55792	PRJEB54809	SOURCE_DATABASE_GENBANK
Allosuctobelba grandis	2881524	GCA_034694805.1	ASM3469480v1	2023-12-27	SAMN25040746	PRJNA758215	PRJNA706923	SOURCE_DATABASE_GENBANK
Alnus glutinosa	3517	GCA_958979045.1	dhAlnGlut1.1 alternate haplotype	2023-07-19	SAMEA7522050	PRJEB64427	PRJEB46320	SOURCE_DATABASE_GENBANK
Alnus glutinosa	3517	GCA_958979055.1	dhAlnGlut1.1	2023-07-19	SAMEA7522050	PRJEB64426	PRJEB46320	SOURCE_DATABASE_GENBANK
Alopochen aegyptiaca	30382	GCA_045783315.1	ASM4578331v1	2024-12-06	SAMN44603992	PRJNA1153307	PRJNA489244	SOURCE_DATABASE_GENBANK
Alosa aestivalis	224703	GCA_040955115.1	fAloAes1_p1.1	2024-08-01	SAMN40462369	PRJNA1115376	PRJNA813333,PRJNA1084039	SOURCE_DATABASE_GENBANK
Alosa aestivalis	224703	GCA_040954945.1	fAloAes1_a1.1	2024-07-30	SAMN40462369	PRJNA1115465	PRJNA813333,PRJNA1084039	SOURCE_DATABASE_GENBANK
Alosa pseudoharengus	34774	GCA_040436105.1	fAloPse1_a1.1	2024-07-01	SAMN41151147	PRJNA1118456	PRJNA813333,PRJNA1084053	SOURCE_DATABASE_GENBANK
Alosa pseudoharengus	34774	GCA_040436175.1	fAloPse1_p1.1	2024-07-01	SAMN41151147	PRJNA1118454	PRJNA813333,PRJNA1084053	SOURCE_DATABASE_GENBANK
Alosa sapidissima	34773	GCA_018492685.1	fAloSap1.pri	2021-05-25	SAMN18857608	PRJNA728145	PRJNA776885	SOURCE_DATABASE_GENBANK
Alosa sapidissima	34773	GCA_018492705.1	fAloSap1.alt	2021-05-24	SAMN18857608	PRJNA728146	PRJNA776885	SOURCE_DATABASE_GENBANK
